id,name,category,cas,application,stock,description,packaging,fullDescription,specifications
11,راتنج بحري MG-400,الراتنجات المشبعة,64742-16-1,"طلاءات بحرية، حماية من التآكل",متوفر,راتنج مقاوم للتآكل للتطبيقات البحرية,براميل 200 كجم,"راتنج بحري MG-400 يوفر مقاومة فائقة للتآكل ومقاومة للماء. مثالي للطلاءات البحرية والأنظمة الواقية.","{""softeningPoint"":""100-110°C"",""acidValue"":""<4 mg KOH/g"",""color"":""عنبري"",""viscosity"":""380 cPs عند 25°C""}"
12,راتنج إيكو E-500,الراتنجات المشبعة,68425-17-2,"طلاءات صديقة للبيئة، منخفض VOC",متوفر,راتنج صديق للبيئة للطلاءات المستدامة,براميل 175 كجم,"راتنج إيكو E-500 هو حل منخفض VOC للتطبيقات الواعية بيئياً. مثالي لتركيبات الطلاء المستدامة.","{""softeningPoint"":""90-100°C"",""acidValue"":""<6 mg KOH/g"",""color"":""شفاف"",""viscosity"":""320 cPs عند 25°C""}"
13,راتنج طلاء بودرة PC-600,الراتنجات المشبعة,25191-48-4,"طلاءات البودرة، تشطيب المعادن",متوفر,راتنج متخصص لأنظمة الطلاء بالبودرة,براميل 160 كجم,"راتنج طلاء بودرة PC-600 يقدم تدفقاً وتسويةً ممتازة في تطبيقات الطلاء بالبودرة. مثالي لتشطيب المعادن.","{""softeningPoint"":""115-125°C"",""acidValue"":""<2 mg KOH/g"",""color"":""أبيض"",""viscosity"":""N/A""}"
14,راتنج علاج UV UV-700,الراتنجات المشبعة,68130-97-2,"طلاءات UV، الطباعة",متوفر,راتنج UV سريع العلاج للطلاءات والأحبار,براميل 140 كجم,"راتنج علاج UV UV-700 يوفر علاجاً فورياً تحت ضوء UV. مثالي لتطبيقات الطلاء والطباعة بالأشعة فوق البنفسجية عالية السرعة.","{""softeningPoint"":""N/A"",""acidValue"":""<5 mg KOH/g"",""color"":""شفاف"",""viscosity"":""500 cPs عند 25°C""}"
15,تيتانيوم أبيض TW-100,الأصباغ الصناعية,13463-67-7,"الدهانات، الطلاءات، البلاستيك",متوفر,صبغة بيضاء عالية الإخفاء لتطبيقات متنوعة,أكياس 25 كجم,"تيتانيوم أبيض TW-100 يوفر قوة إخفاء وسطوع استثنائية. مثالي للدهانات والطلاءات وتطبيقات البلاستيك.","{""tintingStrength"":""1850-1950"",""oilAbsorption"":""14-18 g/100g"",""pH"":""6.5-8.0"",""particle Size"":""0.20-0.30 μm""}"
16,أسود الكربون CB-200,الأصباغ الصناعية,1333-86-4,"الأحبار، البلاستيك، المطاط",متوفر,صبغة كربون أسود نقية للون أسود عميق,أكياس 20 كجم,"أسود الكربون CB-200 يوفر لوناً أسود كثيفاً مع تشتت ممتاز. مثالي للأحبار والبلاستيك ومركبات المطاط.","{""tintingStrength"":""100-110%"",""oilAbsorption"":""90-110 ml/100g"",""pH"":""7.0-9.0"",""particle Size"":""18-25 nm""}"
17,أكسيد الحديد الأحمر IR-130,الأصباغ الصناعية,1309-37-1,"البناء، الدهانات، السيراميك",متوفر,صبغة حمراء متينة للبناء والطلاءات,براميل 30 كجم,"أكسيد الحديد الأحمر IR-130 يوفر مقاومة ممتازة للعوامل الجوية واستقرار اللون. مثالي لمواد البناء والطلاءات الخارجية.","{""tintingStrength"":""95-105%"",""oilAbsorption"":""15-25 g/100g"",""pH"":""4.0-7.0"",""particle Size"":""0.15-0.35 μm""}"
18,أصفر عضوي OY-250,الأصباغ الصناعية,6486-23-3,"أحبار الطباعة، البلاستيك",متوفر,صبغة عضوية صفراء زاهية لتطبيقات عالية الجودة,كرتون 15 كجم,"أصفر عضوي OY-250 يقدم لوناً أصفر نابضاً بالحياة مع ثبات ممتاز للضوء. مثالي لأحبار الطباعة وتلوين البلاستيك.","{""tintingStrength"":""100-110%"",""oilAbsorption"":""35-45 ml/100g"",""pH"":""6.5-8.5"",""particle Size"":""0.05-0.15 μm""}"
19,أزرق فثالوسيانين PB-300,الأصباغ الصناعية,147-14-8,"الطلاءات، الأحبار، البلاستيك",متوفر,صبغة زرقاء لامعة بخصائص ممتازة,براميل 18 كجم,"أزرق فثالوسيانين PB-300 يوفر لوناً أزرق كثيفاً مع ثبات فائق للضوء. مثالي للطلاءات والأحبار عالية الأداء.","{""tintingStrength"":""110-120%"",""oilAbsorption"":""30-40 ml/100g"",""pH"":""6.0-8.0"",""particle Size"":""0.05-0.10 μm""}"
20,أخضر الكروم CG-400,الأصباغ الصناعية,1308-38-9,"الطلاءات الصناعية، البلاستيك",متوفر,صبغة خضراء مستقرة للاستخدام الصناعي,أكياس 25 كجم,"أخضر الكروم CG-400 يوفر استقراراً ممتازاً للحرارة ومقاومة كيميائية. مثالي للطلاءات الصناعية وتطبيقات البلاستيك.","{""tintingStrength"":""90-100%"",""oilAbsorption"":""20-30 g/100g"",""pH"":""5.0-7.5"",""particle Size"":""0.20-0.40 μm""}"
